"","business_id","Monday_open","Monday_close","Tuesday_open","Tuesday_close","Wednesday_open","Wednesday_close","Thursday_open","Thursday_close","Friday_open","Friday_close","Saturday_open","Saturday_close","Sunday_open","Sunday_close"
"1","6iYb2HFDywm3zjuRg0shjw","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"2","tCbdrRPZA0oiIYSmHG3J0w","5","18","5","17","5","18","5","18","5","18","5","18","5","18"
"3","D4JtQNTI4X3KcbzacDJsMw","17","21","17","21","17","21","17","21","17","21","17","21","17","21"
"4","jFYIsSb7r1QeESVUnXPHBw",NA,"",NA,"",NA,"",NA,"",NA,"","8","14","8","14"
"5","HPA_qyMEddpAEtFof02ixg","11","21","11","21","11","21","11","21","11","22","11","22",NA,""
"6","ufCxltuh56FF4-ZFZ6cVhg",NA,"","11","18","11","18","11","18","11","18","11","18",NA,""
"7","GfWJ19Js7wX9rwaHQ7KbGw",NA,"","7","22","7","22","7","22","7","22","7","22","7","22"
"8","hcRxdDg7DYryCxCoI8ySQA","6","22","6","22","6","22","6","22","6","22","6","22","6","20"
"9","jGennaZUr2MsJyRhijNBfA","6","21","6","21","6","21","6","21","6","21","6","21","6","21"
"10","QciD6FbNklaJvUbLExD4Nw",NA,"","11","21","11","21","11","21","11","21","11","21",NA,""
"11","jx91IMdGOmLOo8h_F9z39g","7","23","7","23","7","23","7","23","7","0","7","0","7","23"
"12","NRPemqVb4qpWFF0Avq_6OQ",NA,"","11","22","11","22","16","22","11","22","11","22","11","22"
"13","TRToVIbaVtu1KOE8DR9gCw",NA,"","11","22","11","22","11","22","11","23","11","23","11","22"
"14","Xi2GGNzOiUS8r6WCFvu-fw","11","22","11","22","11","22","11","22","11","22","11","22","11","22"
"15","5PsApTz-WqhF_-8mfqGtGw","10","17","10","17","10","17","10","17","10","17","10","16","10","16"
"16","Of6xu3pY3eHe2yhiyz2dvg","7","0","7","0","7","0","7","0","7","2","7","2","7","0"
"17","djolOChjDtxniurUFP_SXA","10","21","10","21","10","21","10","21","10","21","10","21","11","21"
"18","bRsDZ44CD3uhGnRY3NeQhQ","6","1","6","1","6","1","6","1","6","1","6","1","6","1"
